url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_symbol,num_question_marks,num_equals,num_ampersand,num_percent,num_digits,digit_ratio,has_https,has_ip_address,subdomain_depth,path_depth,hostname_has_hyphen,tld_in_path,shannon_entropy,suspicious_keyword_count,Label
26,10,8,0,2,0,0,4,0,0,0,0,0,0,0.0,1,0,1,1,0,0,3.671405583442497,0,0
32,23,1,0,2,0,0,3,0,0,0,0,0,1,0.03125,1,0,1,0,0,0,3.890319531114783,0,1
148,61,79,0,6,8,0,6,0,0,0,0,0,8,0.05405405405405406,1,0,4,4,1,0,4.596651592940339,0,0
53,21,24,0,3,0,3,3,0,0,0,0,0,16,0.3018867924528302,1,0,1,1,0,0,4.510386020356013,0,0
24,16,1,0,2,0,0,3,0,0,0,0,0,0,0.0,0,0,1,0,0,0,3.9701755214643453,0,1
38,9,21,0,3,0,0,5,0,0,0,0,0,1,0.02631578947368421,1,0,1,3,0,0,3.9155803954675146,0,0
150,6,136,0,1,16,0,8,0,0,0,0,0,12,0.08,1,0,0,5,0,0,4.573870155109794,0,0
36,9,0,0,3,0,0,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,4.078696876021637,0,0
84,54,22,0,2,5,0,5,0,0,0,0,0,21,0.25,1,0,1,2,1,0,4.787053257401913,0,0
175,15,108,43,2,2,0,7,0,1,3,2,0,20,0.11428571428571428,1,0,1,5,0,0,5.5989135753946755,0,1
99,20,71,0,3,7,0,7,0,0,0,0,0,13,0.13131313131313133,1,0,1,5,1,0,4.678523096161075,0,0
66,11,47,0,3,5,0,3,0,0,0,0,0,10,0.15151515151515152,1,0,1,1,0,0,4.720392937763696,0,0
41,21,1,10,2,1,0,3,0,1,1,0,0,0,0.0,1,0,1,0,1,0,4.289882797037173,0,1
68,30,1,28,2,3,0,3,0,2,1,0,0,1,0.014705882352941176,1,0,1,0,1,0,4.5543033796542955,1,1
26,18,0,0,2,0,0,2,0,0,0,0,0,1,0.038461538461538464,1,0,1,0,0,0,4.23890125660263,0,1
50,24,18,0,2,2,0,4,0,0,0,0,0,1,0.02,1,0,1,2,1,0,4.476565630242719,0,0
