path_length,hostname_length,shannon_entropy,path_depth,url_length,Label
-0.4483871088628326,-0.0638107375129533,-1.3883026648302241,-0.49010813642593437,-0.30878709863923476,0
3.7533422649033756,-0.5076950201667131,0.3936752343430618,2.19863474885344,0.9480681038003985,0
-0.2458941269945816,-0.8036178752692197,-0.29164375263228615,0.04764044062994049,-0.32449778866973017,0
1.0703102551490498,-0.5076950201667131,1.2509499145342318,2.19863474885344,0.6338543031904902,0
0.4881429322778283,-0.8036178752692197,-0.4324770818627674,0.5853890176858153,-0.09669278322754664,0
0.2603383276760459,-0.21177216506420657,0.21333912030047308,1.6608861717975651,-0.11240347325804206,0
-0.7015033361981463,0.5280349726920598,0.3404206808791502,-1.027856713481809,-0.32449778866973017,1
-0.4990103543298953,-0.2857528788398332,1.2338971147742546,-0.49010813642593437,0.6888417182972242,0
-0.7015033361981463,-0.21177216506420657,-1.0466004846737247,-1.027856713481809,-0.4030512388222073,1
-0.018089522392799224,0.08415069003829997,0.29188261693790035,0.04764044062994049,-0.1595355433495283,0
0.6147010459454851,0.8239578277945663,-0.12312034101501083,0.04764044062994049,0.10754618716889376,0
1.4499845961520204,-0.13779145128857992,0.23663643981612956,2.7363833259093147,0.2725084324890956,0
-0.7015033361981463,-0.13779145128857992,0.3329984330439048,-1.027856713481809,-0.29307640860873935,0
0.5893894232119538,1.1938613966726994,1.812545244522488,0.04764044062994049,0.8695146536479215,1
0.5134545550113596,-0.8036178752692197,0.1459733062294709,0.5853890176858153,-0.08883743821229893,0
-0.7268149589316777,4.079109233922138,0.5500409845619438,-1.027856713481809,0.044703427046912096,1
-0.7015033361981463,0.23211211758955325,-0.6221397783701603,-1.027856713481809,-0.355919168730721,1
0.08315696854132627,-0.4337143063910865,-0.39924871333636036,0.5853890176858153,-0.18310157839527144,0
0.3615848186101714,0.23211211758955325,0.38529170976648064,0.04764044062994049,-0.02599467809031727,1
0.5134545550113596,-0.21177216506420657,2.19149262908308,1.1231375947416902,0.39819395273305896,0
0.33627319587664,-0.5076950201667131,-0.19476556636225326,1.1231375947416902,-0.11240347325804206,0
-0.11933601332692473,-0.6556564477179664,-0.6297963528758486,0.5853890176858153,-0.26951037356299623,0
-0.7015033361981463,-0.4337143063910865,-1.3874724125852187,-1.027856713481809,-0.4266172738679504,1
-0.7015033361981463,0.8979385415701929,-0.1945494663615973,-1.027856713481809,-0.20666761344101456,0
-0.5243219770634268,-0.8775985890448462,-0.7807581060611405,-0.49010813642593437,-0.4187619288527027,1
-0.16995925879398746,-0.35973359261545984,-0.3573133091562312,0.04764044062994049,-0.2616550285477485,0
-0.7015033361981463,0.45405425891643314,-0.6424395453337071,-1.027856713481809,-0.3323531336849779,1
-0.4483871088628326,3.709205665044005,0.4643929287995314,-0.49010813642593437,0.09183549713839835,0
-0.3218289951951757,-0.2857528788398332,-1.007498745421705,0.5853890176858153,-0.29307640860873935,0
0.032533723074263526,0.08415069003829997,0.24971938081372982,1.1231375947416902,-0.1516801983342806,0
0.4628313095442969,-0.35973359261545984,0.665586621588039,1.1231375947416902,-0.057416058151308104,0
-0.5496335997969581,-1.0995407303717262,-2.0527223289547756,-0.49010813642593437,-0.4501833089136935,1
0.5893894232119538,-0.729637161493593,1.6328070944879483,0.04764044062994049,-0.057416058151308104,1
-0.7015033361981463,-0.21177216506420657,-1.046600484673723,-1.027856713481809,-0.4030512388222073,1
-0.7015033361981463,-0.4337143063910865,-0.4499348721572531,-1.027856713481809,-0.28522106359349164,0
-0.19527088152751884,-0.6556564477179664,2.8828850499304086,0.5853890176858153,2.5741245219566737,1
