feature,importance
path_length,0.17626857518318878
hostname_length,0.1261621350883203
shannon_entropy,0.09505753869767988
path_depth,0.09272776235606411
url_length,0.07503759479774423
num_slashes,0.053322951910221954
num_hyphens,0.0517582783031511
hostname_has_hyphen,0.04954538524353714
query_length,0.03961294487366178
subdomain_depth,0.03565501002709969
digit_ratio,0.03380091693316873
num_dots,0.03127305373164292
num_equals,0.028942014357267443
num_digits,0.028752658953795873
num_question_marks,0.02336376158070191
num_underscores,0.013558036242872235
num_ampersand,0.011887698463694375
has_https,0.009652352997096906
suspicious_keyword_count,0.007946208289958281
num_percent,0.007119262371797933
num_at_symbol,0.004096538838512747
has_ip_address,0.0033495068282259604
tld_in_path,0.0011098139305957828
